Target Points: 
(200, 100) 
(330, 310) 
(370, 450) 

Tolerance: 10


X2       Y2       L       R1       R2       Angle 1       Angle 2
198.96   95.45    192     208      144      64.75        37           
200.58   97.42    192     208      144      64.75        81           
208.13   90.85    208     208      144      61.92        37           
209.75   92.81    208     208      144      61.92        81           
191.97   108.56   144     208      160      73.21        -76          
201.77   105.33   160     208      160      70.37        -76          
203.35   107.68   160     208      160      70.37        -32          
190.50   90.79    160     208      160      70.37        -7           
192.34   92.95    160     208      160      70.37        37           
194.14   95.13    160     208      160      70.37        81           
203.68   91.46    176     208      160      67.56        81           
194.99   102.29   128     208      176      76.12        -76          
196.73   104.87   128     208      176      76.12        -32          
198.42   107.49   128     208      176      76.12        12           
205.16   99.50    144     208      176      73.21        -76          
206.90   102.08   144     208      176      73.21        -32          
208.59   104.70   144     208      176      73.21        12           
191.53   106.01   96      208      192      82.34        56           
197.48   95.58    112     208      192      79.14        -76          
199.38   98.40    112     208      192      79.14        -32          
201.22   101.25   112     208      192      79.14        12           
203.02   104.13   112     208      192      79.14        56           
208.18   93.23    128     208      192      76.12        -76          
190.47   95.85    80      208      208      85.88        12           
192.42   98.98    80      208      208      85.88        56           
201.23   91.45    96      208      208      82.34        -32          
203.23   94.54    96      208      208      82.34        12           
205.18   97.66    96      208      208      82.34        56           
206.07   90.63    80      208      224      85.88        56           
190.62   109.32   224     224      112      59.05        62           
191.65   103.02   208     224      128      61.92        62           
196.25   93.05    224     224      128      59.05        -70          
198.00   94.51    224     224      128      59.05        -26          
199.71   95.99    224     224      128      59.05        18           
201.40   97.50    224     224      128      59.05        62           
202.43   106.08   192     224      144      64.75        -51          
204.12   107.99   192     224      144      64.75        -7           
190.65   94.45    192     224      144      64.75        18           
205.78   109.92   192     224      144      64.75        37           
192.55   96.15    192     224      144      64.75        62           
202.43   91.19    208     224      144      61.92        62           
193.99   103.75   160     224      160      70.37        -51          
195.87   105.86   160     224      160      70.37        -7           
197.72   108.02   160     224      160      70.37        37           
204.26   99.80    176     224      160      67.56        -51          
206.14   101.92   176     224      160      67.56        -7           
207.98   104.07   176     224      160      67.56        37           
209.78   106.25   176     224      160      67.56        81           
190.44   106.60   128     224      176      76.12        81           
195.31   96.49    144     224      176      73.21        -51          
197.38   98.82    144     224      176      73.21        -7           
199.41   101.19   144     224      176      73.21        37           
201.39   103.59   144     224      176      73.21        81           
205.87   93.02    160     224      176      70.37        -51          
207.94   95.35    160     224      176      70.37        -7           
209.96   97.72    160     224      176      70.37        37           
191.34   99.05    112     224      192      79.14        81           
198.49   91.32    128     224      192      76.12        -7           
200.70   93.90    128     224      192      76.12        37           
202.87   96.52    128     224      192      76.12        81           
201.30   104.25   96      224      208      82.34        -76          
203.36   107.31   96      224      208      82.34        -32          
191.39   90.99    96      224      208      82.34        81           
200.75   96.61    80      224      224      85.88        -76          
202.97   99.90    80      224      224      85.88        -32          
205.12   103.23   80      224      224      85.88        12           
207.22   106.59   80      224      224      85.88        56           
321.41   302.31   208     224      240      61.92        57           
190.89   102.95   240     240      112      56.13        -89          
192.59   103.97   240     240      112      56.13        -45          
194.26   105.03   240     240      112      56.13        -1           
195.92   106.12   240     240      112      56.13        43           
197.56   107.23   240     240      112      56.13        87           
204.48   106.78   224     240      128      59.05        -70          
190.66   96.92    224     240      128      59.05        -45          
206.22   108.23   224     240      128      59.05        -26          
192.58   98.13    224     240      128      59.05        -1           
207.94   109.71   224     240      128      59.05        18           
194.47   99.37    224     240      128      59.05        43           
196.35   100.64   224     240      128      59.05        87           
200.99   90.36    240     240      128      56.13        -45          
202.91   91.57    240     240      128      56.13        -1           
204.80   92.81    240     240      128      56.13        43           
206.68   94.08    240     240      128      56.13        87           
193.59   105.62   192     240      144      64.75        -70          
195.54   107.26   192     240      144      64.75        -26          
197.47   108.92   192     240      144      64.75        18           
204.17   100.31   208     240      144      61.92        -70          
206.13   101.94   208     240      144      61.92        -26          
190.78   90.58    208     240      144      61.92        -1           
208.06   103.61   208     240      144      61.92        18           
192.91   91.97    208     240      144      61.92        43           
209.96   105.31   208     240      144      61.92        62           
195.02   93.41    208     240      144      61.92        87           
192.95   98.00    176     240      160      67.56        -70          
195.13   99.81    176     240      160      67.56        -26          
197.27   101.66   176     240      160      67.56        18           
199.38   103.55   176     240      160      67.56        62           
203.72   93.24    192     240      160      64.75        -70          
205.89   95.05    192     240      160      64.75        -26          
